Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
The fact that clinical trials involve research,"The purpose of this study is research, and it will be conducted in compliance with Ã¢ÂÂMinisterial Ordinance on Good Clinical Practice for DrugsÃ¢ÂÂ (Japan GCP) stipulated by the MHLW.",,,yes,yes,"The purpose of this study is research, and it will be conducted in compliance with Ã¢ÂÂMinisterial Ordinance on Good Clinical Practice for DrugsÃ¢ÂÂ (Japan GCP) stipulated by the MHLW.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,An independent Ethics Committee or Institutional Review Board has reviewed the objectives and the proposed conduct of this study and has given a favorable opinion of it.,,,yes,yes,"An independent Ethics Committee or Institutional Review Board has reviewed the objectives and the proposed conduct of this study and has given a favorable opinion of it.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,"The IRB consists of medical/pharmaceutical professionals or other health care providers, individuals with specialized knowledge in clinical studies, non-professionals other than the above, and individuals who have no conflict of interests with the hospital. It is established to review and discuss whether or not there are any concerns in the study regarding the human rights and safety of study participants from the scientific and ethical points of view.",,,yes,yes,"The IRB consists of medical/pharmaceutical professionals or other health care providers, individuals with specialized knowledge in clinical studies, non-professionals other than the above, and individuals who have no conflict of interests with the hospital. It is established to review and discuss whether or not there are any concerns in the study regarding the human rights and safety of study participants from the scientific and ethical points of view.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,This study is also conducted after obtaining approvals from both IRB and the hospital head. You may request to access the written procedures and records of the IRB.,,,yes,yes,"This study is also conducted after obtaining approvals from both IRB and the hospital head. You may request to access the written procedures and records of the IRB.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,"If you have anything unclear, please contact the contact information below. [Institutional Review Board]",,,yes,yes,"If you have anything unclear, please contact the contact information below. [Institutional Review Board]
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,Name: Hiroshima University Hospital Institutional Review Board,,,yes,yes,"Name: Hiroshima University Hospital Institutional Review Board
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,Established by: Hospital Director of the Hiroshima University Hospital,,,yes,yes,"Established by: Hospital Director of the Hiroshima University Hospital
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,"Address: 1-2-3 Kasumi, Minami-ku, Hiroshima-shi, Hiroshima",,,yes,yes,"Address: 1-2-3 Kasumi, Minami-ku, Hiroshima-shi, Hiroshima
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,Contact information: 082-257-5596,,,yes,yes,"Contact information: 082-257-5596
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,"Place where the written procedures etc. are available (website URL, contact information, etc.):",,,yes,yes,"Place where the written procedures etc. are available (website URL, contact information, etc.):
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
The fact that clinical trials involve research,Figure 1: Clinical Study Flow,,,yes,yes,"Figure 1: Clinical Study Flow
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,Purpose,,,yes,yes,"Purpose
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,"Bristol-Myers Squibb (BMS) has begun a study of an investigational treatment of nivolumab in combination with ipilimumab followed by nivolumab alone as a possible treatment for advanced liver cancer. An investigational treatment is one that has not been approved by domestic and foreign regulatory authorities. For this study, researchers are studying the clinical benefits, long-term safety, and survival data of the investigational treatment (nivolumab with ipilimumab followed by nivolumab alone) in participants with advanced liver cancer who have not previously received a drug treatment for this disease. Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the body's own immune system to attack the cancer cells. The main purpose of this study is to learn how well the investigational treatment works and how safe it is compared with other therapies that have already been approved by domestic and foreign regulatory authorities (standard of care treatments), in this case, sorafenib or lenvatinib.",,,yes,yes,"Bristol-Myers Squibb (BMS) has begun a study of an investigational treatment of nivolumab in combination with ipilimumab followed by nivolumab alone as a possible treatment for advanced liver cancer. An investigational treatment is one that has not been approved by domestic and foreign regulatory authorities. For this study, researchers are studying the clinical benefits, long-term safety, and survival data of the investigational treatment (nivolumab with ipilimumab followed by nivolumab alone) in participants with advanced liver cancer who have not previously received a drug treatment for this disease. Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the body's own immune system to attack the cancer cells. The main purpose of this study is to learn how well the investigational treatment works and how safe it is compared with other therapies that have already been approved by domestic and foreign regulatory authorities (standard of care treatments), in this case, sorafenib or lenvatinib.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,"You are being asked to take part in this study because you have been diagnosed as having advanced liver cancer. This study involves research. Participating in a clinical trial is not the same as getting regular medical care. The primary purpose of a clinical trial is to collect information about a medical treatment; the purpose of regular medical care is to improve your health. Being in this study does not replace your regular medical care, but you may have additional evaluations or changes in your treatments during the study.",,,yes,yes,"You are being asked to take part in this study because you have been diagnosed as having advanced liver cancer. This study involves research. Participating in a clinical trial is not the same as getting regular medical care. The primary purpose of a clinical trial is to collect information about a medical treatment; the purpose of regular medical care is to improve your health. Being in this study does not replace your regular medical care, but you may have additional evaluations or changes in your treatments during the study.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,"Your participation in this study is voluntary. If you do not wish to take part in the study, your decision will be respected. If you decide not to take part in this study, you can continue with your current medical care.",,,yes,yes,"Your participation in this study is voluntary. If you do not wish to take part in the study, your decision will be respected. If you decide not to take part in this study, you can continue with your current medical care.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,"Before participation in the study, you or your legally acceptable representative will receive a copy of the signed and dated written consent form and any other printed information that is provided.",,,yes,yes,"Before participation in the study, you or your legally acceptable representative will receive a copy of the signed and dated written consent form and any other printed information that is provided.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,The study has been approved by the Institutional Review Board and an authorization from domestic and foreign regulatory authorities according to the domestic laws and regulations.,,,yes,yes,"The study has been approved by the Institutional Review Board and an authorization from domestic and foreign regulatory authorities according to the domestic laws and regulations.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,Study Treatments,,,yes,yes,"Study Treatments
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Purpose and methods of the clinical trial,Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the bodyÃ¢ÂÂs own immune system to attack the cancer cells.,,,yes,yes,"Nivolumab and ipilimumab are types of immunotherapy that work by encouraging the bodyÃ¢ÂÂs own immune system to attack the cancer cells.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Nivolumab,"Humans have immune system that recognizes and eliminates foreign bodies and cancer cells. There is a protein specific to a cancer cell (cancer antigen) on the surface of the cancer cell. Lymphocytes become activated after recognizing the cancer antigen and then begin to attack selectively on cancer cells with the cancer antigen. However, it was revealed that immune function does not work sufficiently because of being suppressed by various factors in the body of patients with cancer. A protein related to a decrease in immune function, called PD-1, has been known as one of those factors.",,,yes,yes,"Humans have immune system that recognizes and eliminates foreign bodies and cancer cells. There is a protein specific to a cancer cell (cancer antigen) on the surface of the cancer cell. Lymphocytes become activated after recognizing the cancer antigen and then begin to attack selectively on cancer cells with the cancer antigen. However, it was revealed that immune function does not work sufficiently because of being suppressed by various factors in the body of patients with cancer. A protein related to a decrease in immune function, called PD-1, has been known as one of those factors.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Nivolumab,"PD-1 is a protein existing on the surface of lymphocytes that is responsible for immunity. When PD-1 binds to PD-L, a protein on the surface of cancer cell, the activity of the lymphocyte is decreased, and the lymphocyte is unable to attack cancer cells (Figure 1).",,,yes,yes,"PD-1 is a protein existing on the surface of lymphocytes that is responsible for immunity. When PD-1 binds to PD-L, a protein on the surface of cancer cell, the activity of the lymphocyte is decreased, and the lymphocyte is unable to attack cancer cells (Figure 1).
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 1: Because cancer cells decrease the activity of lymphocyte through PD-L and PD-1, the lymphocyte cannot attack cancer cells.","Nivolumab is a protein (antibody) that binds specifically to PD-1, thereby preventing the linkage of PD-1 with PD-L. As a result, nivolumab prevents a decrease in the lymphocyte activity, enabling them to attack cancer cells. Therefore, nivolumab is believed to be effective for diminishing cancer cells (Figure 2).",,,yes,yes,"Nivolumab is a protein (antibody) that binds specifically to PD-1, thereby preventing the linkage of PD-1 with PD-L. As a result, nivolumab prevents a decrease in the lymphocyte activity, enabling them to attack cancer cells. Therefore, nivolumab is believed to be effective for diminishing cancer cells (Figure 2).
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 2: Because nivolumab prevents a decrease in the lymphocyte activity, the lymphocyte can attack cancer cells.","Nivolumab has obtained marketing approval as a treatment agent for malignant melanoma, non-small cell lung cancer, and others under the brand name of OPDIVOÃÂ® in Japan and overseas. It has not been approved for advanced hepatocellular carcinoma.",,,yes,yes,"Nivolumab has obtained marketing approval as a treatment agent for malignant melanoma, non-small cell lung cancer, and others under the brand name of OPDIVOÃÂ® in Japan and overseas. It has not been approved for advanced hepatocellular carcinoma.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Ipilimumab,"As discussed previously, the immune system of patients with cancer does not function sufficiently because of various factors. Other than PD-1, CTLA-4, a protein related to a decrease in immune function, has also been recognized as one of those factors.",,,yes,yes,"As discussed previously, the immune system of patients with cancer does not function sufficiently because of various factors. Other than PD-1, CTLA-4, a protein related to a decrease in immune function, has also been recognized as one of those factors.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Ipilimumab,"Similar to PD-1, CTLA-4 is a protein that is present on the surface of lymphocytes. Lymphocytes are activated by binding to B7, a protein existing on the surface of cells having a role in activating lymphocytes (antigen- presenting cell). However, if CTLA-4 subsequently appears, B7 binds to CTLA-4 instead of CD28. As a result, the function of the lymphocyte is diminished and the ability of the lymphocyte for attacking cancer cells is declined (Figure 3).",,,yes,yes,"Similar to PD-1, CTLA-4 is a protein that is present on the surface of lymphocytes. Lymphocytes are activated by binding to B7, a protein existing on the surface of cells having a role in activating lymphocytes (antigen- presenting cell). However, if CTLA-4 subsequently appears, B7 binds to CTLA-4 instead of CD28. As a result, the function of the lymphocyte is diminished and the ability of the lymphocyte for attacking cancer cells is declined (Figure 3).
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 3: Because CTLA-4 binds to B7 and then decreases lymphocyte function, the ability of lymphocyte for attacking cancer cells is reduced.",Ipilimumab is an antibody that specifically binds to CTLA-4. It is believed that ipilimumab diminishes cancer cells by preventing a decrease in the lymphocyte function through binding to CTLA-4 and improving immunity against cancer cells (Figure 4).,,,yes,yes,"Ipilimumab is an antibody that specifically binds to CTLA-4. It is believed that ipilimumab diminishes cancer cells by preventing a decrease in the lymphocyte function through binding to CTLA-4 and improving immunity against cancer cells (Figure 4).
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 4: Because ipilimumab prevents a decrease in the lymphocyte function, the lymphocyte can attack cancer cells.",Ipilimumab has obtained marketing approval as a treatment agent for malignant melanoma under the brand name of YERVOYÃÂ® in Japan and overseas. It has not been approved for advanced hepatocellular carcinoma.,,,yes,yes,"Ipilimumab has obtained marketing approval as a treatment agent for malignant melanoma under the brand name of YERVOYÃÂ® in Japan and overseas. It has not been approved for advanced hepatocellular carcinoma.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 4: Because ipilimumab prevents a decrease in the lymphocyte function, the lymphocyte can attack cancer cells.","In addition, nivolumab in combination with ipilimumab has obtained marketing approval as a treatment agent for malignant melanoma and renal cell cancer in Japan and for malignant melanoma, renal cell cancer, and others overseas.",,,yes,yes,"In addition, nivolumab in combination with ipilimumab has obtained marketing approval as a treatment agent for malignant melanoma and renal cell cancer in Japan and for malignant melanoma, renal cell cancer, and others overseas.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 4: Because ipilimumab prevents a decrease in the lymphocyte function, the lymphocyte can attack cancer cells.","In this study, you will have a 1 in 2 chance of receiving nivolumab with ipilimumab followed by nivolumab alone and a 1 in 2 chance of receiving the standard of care treatment: sorafenib or lenvatinib. You will be informed of the treatment that you will receive.",,,yes,yes,"In this study, you will have a 1 in 2 chance of receiving nivolumab with ipilimumab followed by nivolumab alone and a 1 in 2 chance of receiving the standard of care treatment: sorafenib or lenvatinib. You will be informed of the treatment that you will receive.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 4: Because ipilimumab prevents a decrease in the lymphocyte function, the lymphocyte can attack cancer cells.","If you complete the study, you will not continue to receive the study medications. Your study doctor will prescribe medications that are available to treat your disease.",,,yes,yes,"If you complete the study, you will not continue to receive the study medications. Your study doctor will prescribe medications that are available to treat your disease.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
"Figure 4: Because ipilimumab prevents a decrease in the lymphocyte function, the lymphocyte can attack cancer cells.",Study Procedure,,,yes,yes,"Study Procedure
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,The study eligibility criteria are as follows:,,,yes,yes,"The study eligibility criteria are as follows:
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,Bullet- Persons aged 18 years or older who are diagnosed as having advanced liver cancer and have not previously received any systemic anticancer agents.,,,yes,yes,"Bullet- Persons aged 18 years or older who are diagnosed as having advanced liver cancer and have not previously received any systemic anticancer agents.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,Bullet- Persons with hepatocellular carcinoma unrelated to virus or related to hepatitis B virus (HBV) or hepatitis C virus (HCV).,,,yes,yes,"Bullet- Persons with hepatocellular carcinoma unrelated to virus or related to hepatitis B virus (HBV) or hepatitis C virus (HCV).
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,"If the following criteria are applicable, you cannot participate in this study:",,,yes,yes,"If the following criteria are applicable, you cannot participate in this study:
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,Bullet- Persons who have received liver transplantation,,,yes,yes,"Bullet- Persons who have received liver transplantation
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,Bullet- Persons with ascites that needs to be treated or to be continuously prevented.,,,yes,yes,"Bullet- Persons with ascites that needs to be treated or to be continuously prevented.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,"Bullet- Persons with active superinfection with hepatitis B, C, or B and D.",,,yes,yes,"Bullet- Persons with active superinfection with hepatitis B, C, or B and D.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,Bullet- Persons receiving anticoagulants such as warfarin.,,,yes,yes,"Bullet- Persons receiving anticoagulants such as warfarin.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,These factors are only major criteria. Your eligibility will be checked thoroughly by your study doctor.,,,yes,yes,"These factors are only major criteria. Your eligibility will be checked thoroughly by your study doctor.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Screening,"Once you consent to participate in this study, the doctor will conduct the following tests and procedures to check your eligibility as a study participant.",,,yes,yes,"Once you consent to participate in this study, the doctor will conduct the following tests and procedures to check your eligibility as a study participant.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Procedure conducted during this study,"The study is divided into 3 time periods: screening period, treatment period, and follow-up period. During each study period, you will have one or more visits with your study doctor at the center. The screening visit will last for about 4 h, and all other visits will last for about 1 to 2 h.",,,yes,yes,"The study is divided into 3 time periods: screening period, treatment period, and follow-up period. During each study period, you will have one or more visits with your study doctor at the center. The screening visit will last for about 4 h, and all other visits will last for about 1 to 2 h.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Procedure conducted during this study,"Before any study-related tests and procedures can be performed, you will be asked to read and sign this Informed Consent Form. After you sign this Informed Consent Form, the study will begin with a screening visit. The purpose of the screening visit is to determine if you meet the requirements to take part in this study. If you do not meet the requirements, the study doctor will explain why and will discuss other treatment options with you.",,,yes,yes,"Before any study-related tests and procedures can be performed, you will be asked to read and sign this Informed Consent Form. After you sign this Informed Consent Form, the study will begin with a screening visit. The purpose of the screening visit is to determine if you meet the requirements to take part in this study. If you do not meet the requirements, the study doctor will explain why and will discuss other treatment options with you.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Procedure conducted during this study,"If the study doctor determines that you meet all the requirements to be included into the study, you will be randomly assigned (like the flip of a coin) to receive one of the following treatments (randomization).",,,yes,yes,"If the study doctor determines that you meet all the requirements to be included into the study, you will be randomly assigned (like the flip of a coin) to receive one of the following treatments (randomization).
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Procedure conducted during this study,Randomization is done to better evaluate the efficacy and safety of the study treatments.,,,yes,yes,"Randomization is done to better evaluate the efficacy and safety of the study treatments.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Procedure conducted during this study,"Investigational Therapy: Nivolumab 1 mg/kg plus ipilimumab 3 mg/kg intravenous (IV) on day 1 visit of each cycle every 3 weeks for up to 4 cycles. After 4 cycles, you will receive nivolumab 480-mg alone every 4 weeks.",,,yes,yes,"Investigational Therapy: Nivolumab 1 mg/kg plus ipilimumab 3 mg/kg intravenous (IV) on day 1 visit of each cycle every 3 weeks for up to 4 cycles. After 4 cycles, you will receive nivolumab 480-mg alone every 4 weeks.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Procedure conducted during this study,Standard of Care: Sorafenib 400 mg orally twice a day or lenvatinib 8 or 12 mg (depending on your body weight) orally once a day. Whether you receive sorafenib or lenvatinib will be based on the study doctorÃ¢ÂÂs judgment.,,,yes,yes,"Standard of Care: Sorafenib 400 mg orally twice a day or lenvatinib 8 or 12 mg (depending on your body weight) orally once a day. Whether you receive sorafenib or lenvatinib will be based on the study doctorÃ¢ÂÂs judgment.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Procedure conducted during this study,"When you stop or complete the study treatments, you will begin the follow-up period. During this period, your study doctor will continue to assess your health condition to find out, for example, if you have recovered, developed an illness, or suffered an important adverse event. In addition, if your disease had not progressed when you stopped the study treatment, the computed tomography (CT) scans may continue to be performed to monitor the disease status. You will also be asked questions regarding your medical condition and any new cancer treatment that you are receiving.",,,yes,yes,"When you stop or complete the study treatments, you will begin the follow-up period. During this period, your study doctor will continue to assess your health condition to find out, for example, if you have recovered, developed an illness, or suffered an important adverse event. In addition, if your disease had not progressed when you stopped the study treatment, the computed tomography (CT) scans may continue to be performed to monitor the disease status. You will also be asked questions regarding your medical condition and any new cancer treatment that you are receiving.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Study Procedures and Assessments,"A description of the procedures and assessments that will be performed during the study, including the screening, treatment, and follow-up visits, is presented in the table below. The study doctor will explain all the procedures and tests. In addition to the visits described below, the study doctor may ask you to come in for extra visits, if necessary, for your safety.",,,yes,yes,"A description of the procedures and assessments that will be performed during the study, including the screening, treatment, and follow-up visits, is presented in the table below. The study doctor will explain all the procedures and tests. In addition to the visits described below, the study doctor may ask you to come in for extra visits, if necessary, for your safety.
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Study Procedures and Assessments,The following tests and procedures will be performed:,,,yes,yes,"The following tests and procedures will be performed:
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
Study Procedures and Assessments,"Bullet- Collection of your urine and blood for laboratory tests to measure your blood chemistry, including kidney and liver function; how well your blood clots (coagulation parameters); red and white blood cell count and platelet count; and measure of your thyroid function. At screening, you will be also checked for hepatitis B, C, or D infection. You must not have knowledge of an active HIV infection or positive HIV test for you to participate in the study. You will be informed about these test results. Positive HIV and hepatitis B and C tests may be reportable to responsible local authorities if required in your country. In addition to the samples above:",,,yes,yes,"Bullet- Collection of your urine and blood for laboratory tests to measure your blood chemistry, including kidney and liver function; how well your blood clots (coagulation parameters); red and white blood cell count and platelet count; and measure of your thyroid function. At screening, you will be also checked for hepatitis B, C, or D infection. You must not have knowledge of an active HIV infection or positive HIV test for you to participate in the study. You will be informed about these test results. Positive HIV and hepatitis B and C tests may be reportable to responsible local authorities if required in your country. In addition to the samples above:
I agree to the above statement",Study,"{'Drug': 'Nivolumab', 'Disease': 'Hepatocellular Carcinoma', 'country': 'Japan'}",
