Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
2.0 Study Design,"Sometimes it is not known which way of treating people is best. To find out, researchers need to compare different treatments in research studies. The study will have three groups of participants who will receive either BMS-986165, placebo or apremilast; as a result, you may receive a placebo, which contains no active ingredient; you may receive apremilast which is approved for treatment of moderate-to-severe plaque psoriasis or you may receive BMS-986165.",,,yes,yes,"Sometimes it is not known which way of treating people is best. To find out, researchers need to compare different treatments in research studies. The study will have three groups of participants who will receive either BMS-986165, placebo or apremilast; as a result, you may receive a placebo, which contains no active ingredient; you may receive apremilast which is approved for treatment of moderate-to-severe plaque psoriasis or you may receive BMS-986165.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,"The group you are in will be selected at random. You will have a 1 in 2 chance of receiving the BMS- 986165, a 1 in 4 chance of receiving apremilast and a 1 in 4 chance of receiving placebo; these are, referred to as Ã¢ÂÂstudy treatmentÃ¢ÂÂ for the rest of this information sheet.",,,yes,yes,"The group you are in will be selected at random. You will have a 1 in 2 chance of receiving the BMS- 986165, a 1 in 4 chance of receiving apremilast and a 1 in 4 chance of receiving placebo; these are, referred to as Ã¢ÂÂstudy treatmentÃ¢ÂÂ for the rest of this information sheet.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,In this study neither you nor your study doctor will know what study treatment you are receiving.,,,yes,yes,"In this study neither you nor your study doctor will know what study treatment you are receiving.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,"The groups each have the different study treatments in turn. There may be a break between study treatments so that the first study drugs(s) are cleared from your body before you start the new study treatment. For example, you may receive the BMS-986165, placebo or apremilast for a period and then receive the other study treatment.",,,yes,yes,"The groups each have the different study treatments in turn. There may be a break between study treatments so that the first study drugs(s) are cleared from your body before you start the new study treatment. For example, you may receive the BMS-986165, placebo or apremilast for a period and then receive the other study treatment.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,"You will receive study treatment at one of the following doses, however you may not remain on the same study treatment for the full duration of the study:",,,yes,yes,"You will receive study treatment at one of the following doses, however you may not remain on the same study treatment for the full duration of the study:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,Bullet- BMS-986165 (6 mg),,,yes,yes,"Bullet- BMS-986165 (6 mg)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,Bullet- Placebo,,,yes,yes,"Bullet- Placebo
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
2.0 Study Design,Bullet- Apremilast (30 mg),,,yes,yes,"Bullet- Apremilast (30 mg)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,Your participation in the study would last 60 weeks as follows:,,,yes,yes,"Your participation in the study would last 60 weeks as follows:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,Bullet- screening (up to 4 weeks),,,yes,yes,"Bullet- screening (up to 4 weeks)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,Bullet- study treatment (24 weeks),,,yes,yes,"Bullet- study treatment (24 weeks)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,Bullet- re-assignment to study treatment group (which could include placebo treatment) (28 weeks),,,yes,yes,"Bullet- re-assignment to study treatment group (which could include placebo treatment) (28 weeks)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,Bullet- follow up (4 weeks),,,yes,yes,"Bullet- follow up (4 weeks)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,"This will involve visits to your study doctor every four weeks for a total of 18 visits. You will receive study treatment for a total of 52 weeks, at the end of study treatment the study doctor will continue to monitor you for four weeks as part of a safety follow up.",,,yes,yes,"This will involve visits to your study doctor every four weeks for a total of 18 visits. You will receive study treatment for a total of 52 weeks, at the end of study treatment the study doctor will continue to monitor you for four weeks as part of a safety follow up.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,You will also be asked to complete approximately seven questionnaires throughout the study and a study diary each day. Some of these you will complete on paper or on an electronic device; these questionnaires can take a little while to complete and you should be willing to take the time to complete them to ensure your study doctor has accurate information about your psoriasis.,,,yes,yes,"You will also be asked to complete approximately seven questionnaires throughout the study and a study diary each day. Some of these you will complete on paper or on an electronic device; these questionnaires can take a little while to complete and you should be willing to take the time to complete them to ensure your study doctor has accurate information about your psoriasis.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Activities and Time Commitment,"Bristol-Myers Squibb Company will also run a long-term extension study which you may be eligible to take part in. The study will be two years or longer, please speak to your study doctor for more information.",,,yes,yes,"Bristol-Myers Squibb Company will also run a long-term extension study which you may be eligible to take part in. The study will be two years or longer, please speak to your study doctor for more information.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"After you voluntarily agree to participate in this study, and before starting any study-related procedures, you will be asked to sign and date this Informed Consent Form. After you consent to the study, you will have tests done to see if you meet criteria to be in the study. Some of these tests and/or procedures are part of regular care and may be done even if you do not take part in the study. If you have had some of them recently, they may not need to be repeated. This decision will be up to your study doctor. This process is known as the Screening Period. The Screening Period will determine whether or not you can receive the study treatment.",,,yes,yes,"After you voluntarily agree to participate in this study, and before starting any study-related procedures, you will be asked to sign and date this Informed Consent Form. After you consent to the study, you will have tests done to see if you meet criteria to be in the study. Some of these tests and/or procedures are part of regular care and may be done even if you do not take part in the study. If you have had some of them recently, they may not need to be repeated. This decision will be up to your study doctor. This process is known as the Screening Period. The Screening Period will determine whether or not you can receive the study treatment.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"If you are suitable to take part in the study, you will be asked to come back for the further visits and will have some further procedures and tests (including taking blood and urine samples). In total 513 ml or approximately 87 teaspoons of blood will be taken during the study. Your samples will be tested by Q2 Solutions 27027 Tourney Road, Suite 2E, Valencia, CA 91355, USA and will be stored for 15 years after completion of the study.",,,yes,yes,"If you are suitable to take part in the study, you will be asked to come back for the further visits and will have some further procedures and tests (including taking blood and urine samples). In total 513 ml or approximately 87 teaspoons of blood will be taken during the study. Your samples will be tested by Q2 Solutions 27027 Tourney Road, Suite 2E, Valencia, CA 91355, USA and will be stored for 15 years after completion of the study.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"If you are a woman capable of having children, you will be required to have a pregnancy test to make sure you are not pregnant.",,,yes,yes,"If you are a woman capable of having children, you will be required to have a pregnancy test to make sure you are not pregnant.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,The screening will be completed within 28 days of signing and dating this Informed Consent Form. The Screening Period will include the following:,,,yes,yes,"The screening will be completed within 28 days of signing and dating this Informed Consent Form. The Screening Period will include the following:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Review of eligibility for this trial,,,yes,yes,"Bullet- Review of eligibility for this trial
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Medical history,,,yes,yes,"Bullet- Medical history
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Review of smoking history,,,yes,yes,"Bullet- Review of smoking history
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Physical examination,,,yes,yes,"Bullet- Physical examination
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"Bullet- Review of medications you are taking, your medication history, and when you have stopped prior medications",,,yes,yes,"Bullet- Review of medications you are taking, your medication history, and when you have stopped prior medications
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"Bullet- Vital signs - blood pressure, breathing rate, heart rate, and temperature",,,yes,yes,"Bullet- Vital signs - blood pressure, breathing rate, heart rate, and temperature
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Weight and height,,,yes,yes,"Bullet- Weight and height
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Electrocardiogram Ã¢ÂÂ(ECG) Ã¢ÂÂ exam to measure the electrical activity of your heart,,,yes,yes,"Bullet- Electrocardiogram Ã¢ÂÂ(ECG) Ã¢ÂÂ exam to measure the electrical activity of your heart
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Chest x-ray or CT (if you have not had this within 6 months),,,yes,yes,"Bullet- Chest x-ray or CT (if you have not had this within 6 months)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Concomitant medication use (discussion about medications that are allowed to take during the study),,,yes,yes,"Bullet- Concomitant medication use (discussion about medications that are allowed to take during the study)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Assessment of neuropsychiatric history including depression and suicidal thoughts and behaviors,,,yes,yes,"Bullet- Assessment of neuropsychiatric history including depression and suicidal thoughts and behaviors
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Blood and urine samples will be taken for laboratory tests.,,,yes,yes,"Bullet- Blood and urine samples will be taken for laboratory tests.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"Bullet- Blood samples including testing for tuberculosis, thyroid activity and checking your antibody levels in the blood to help measure the status of your immune system.",,,yes,yes,"Bullet- Blood samples including testing for tuberculosis, thyroid activity and checking your antibody levels in the blood to help measure the status of your immune system.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"Please note that your blood will be tested for hepatitis and human immunodeficiency virus (HBV and HCV, and HIV). Positive results for these infectious diseases will be reported by the study doctor to the appropriate authority as required by law if applicable in your country. If you have any questions regarding hepatitis and HIV testing please ask your study doctor.",,,yes,yes,"Please note that your blood will be tested for hepatitis and human immunodeficiency virus (HBV and HCV, and HIV). Positive results for these infectious diseases will be reported by the study doctor to the appropriate authority as required by law if applicable in your country. If you have any questions regarding hepatitis and HIV testing please ask your study doctor.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Tuberculosis test,,,yes,yes,"Bullet- Tuberculosis test
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Pregnancy blood test for women of childbearing potential,,,yes,yes,"Bullet- Pregnancy blood test for women of childbearing potential
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- FSH (hormone) measurement for women,,,yes,yes,"Bullet- FSH (hormone) measurement for women
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Urine test,,,yes,yes,"Bullet- Urine test
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,Bullet- Assessment of the severity of your psoriasis and a questionnaire,,,yes,yes,"Bullet- Assessment of the severity of your psoriasis and a questionnaire
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"Bullet- You will also be asked to complete a daily diary to record your signs and symptoms. This may be a paper-based diary or may be electronic Ã¢ÂÂ if electronic, the device you are given to complete your diary with should be returned to your study doctor when no longer needed.",,,yes,yes,"Bullet- You will also be asked to complete a daily diary to record your signs and symptoms. This may be a paper-based diary or may be electronic Ã¢ÂÂ if electronic, the device you are given to complete your diary with should be returned to your study doctor when no longer needed.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Screening Period,"If you happen to not meet all the criteria to take part in the study at screening or randomization and have not been treated with disallowed medications, you may be rescreened. In this case you must re-consent and will be assigned a new identification number, and the full screening period will be performed again.",,,yes,yes,"If you happen to not meet all the criteria to take part in the study at screening or randomization and have not been treated with disallowed medications, you may be rescreened. In this case you must re-consent and will be assigned a new identification number, and the full screening period will be performed again.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Period,"If you meet the study requirements and you choose to continue to take part, you will enter the Study Period. You will be put into a study group to receive study treatment with BMS-986165, placebo or apremilast.",,,yes,yes,"If you meet the study requirements and you choose to continue to take part, you will enter the Study Period. You will be put into a study group to receive study treatment with BMS-986165, placebo or apremilast.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Period,"Weeks 0 to 24 are the part of the study which compares a treatment known to be effective to the other study treatments; in this period the effects of BMS-986165, placebo or apremilast are compared. You may receive any of these three study treatments as defined above in section 2.0.",,,yes,yes,"Weeks 0 to 24 are the part of the study which compares a treatment known to be effective to the other study treatments; in this period the effects of BMS-986165, placebo or apremilast are compared. You may receive any of these three study treatments as defined above in section 2.0.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Period,"Some of the activities will require you to fast in advance of blood being taken, this will require you not to consume any food or drink except water for at least 10 hours before sample collection. Your study doctor will discuss this with you.",,,yes,yes,"Some of the activities will require you to fast in advance of blood being taken, this will require you not to consume any food or drink except water for at least 10 hours before sample collection. Your study doctor will discuss this with you.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Please see Table 1 below for the list of activities at each visit during week 0 to week 20.,Weeks 24 to 52 may include your re-assignment to a different study treatment group (which could include placebo treatment); you may receive the same study treatment as in weeks 0 to 20 or a different study treatment for this part of the study.,,,yes,yes,"Weeks 24 to 52 may include your re-assignment to a different study treatment group (which could include placebo treatment); you may receive the same study treatment as in weeks 0 to 20 or a different study treatment for this part of the study.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Please see Table 2 below for the list of activities at each visit during week 24 to week 52.,The study doctor/staff will explain the details and provide specific instructions about each of the procedures needed.,,,yes,yes,"The study doctor/staff will explain the details and provide specific instructions about each of the procedures needed.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Please see Table 2 below for the list of activities at each visit during week 24 to week 52.,An average of approximately 28 mL (5 teaspoons) up to a maximum of 62 mL (10.5 teaspoons) will be taken at each visit (including screening and follow up visits). The total amount of blood collected during this trial is about 513 mL (approximately 87 teaspoons or 29 tablespoons).,,,yes,yes,"An average of approximately 28 mL (5 teaspoons) up to a maximum of 62 mL (10.5 teaspoons) will be taken at each visit (including screening and follow up visits). The total amount of blood collected during this trial is about 513 mL (approximately 87 teaspoons or 29 tablespoons).
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Table 1 Study Period: Week 0 to Week 20,Table 2 Study Period: Week 24 to Week 52,,,yes,yes,"Table 2 Study Period: Week 24 to Week 52
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Follow-up Period,"When you stop or complete study treatments you will begin the last part of the study, the follow-up period. During this period your study doctor will continue to assess your health condition. It is important to know, for example, if you have recovered, developed an illness or suffered an important adverse event.",,,yes,yes,"When you stop or complete study treatments you will begin the last part of the study, the follow-up period. During this period your study doctor will continue to assess your health condition. It is important to know, for example, if you have recovered, developed an illness or suffered an important adverse event.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Follow-up Period,"The follow-up period includes one visit at week 56 of the study. The follow up visit will include physical examination, body weight and vital signs, review of adverse events and your other medications, Blood and urine collection for laboratory tests (hematology, clinical chemistry and urinalysis) and a urine test for pregnancy if you are female. The follow-up visit should last no longer than your other study visits.",,,yes,yes,"The follow-up period includes one visit at week 56 of the study. The follow up visit will include physical examination, body weight and vital signs, review of adverse events and your other medications, Blood and urine collection for laboratory tests (hematology, clinical chemistry and urinalysis) and a urine test for pregnancy if you are female. The follow-up visit should last no longer than your other study visits.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Follow-up Period,"Please note that if the study doctor thinks it is necessary, you may be asked to come for additional visits or assessments for your safety.",,,yes,yes,"Please note that if the study doctor thinks it is necessary, you may be asked to come for additional visits or assessments for your safety.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Follow-up Period,"If it is necessary to further test the safety or effectiveness of the study treatment, it may be necessary to have access to additional information about your health status. Your study doctor may attempt to obtain study-related information about your health from you or from other sources, including your primary care doctor and public sources such as national patient registries (for example, cancer registries). This may include contacting you again by phone or letter.",,,yes,yes,"If it is necessary to further test the safety or effectiveness of the study treatment, it may be necessary to have access to additional information about your health status. Your study doctor may attempt to obtain study-related information about your health from you or from other sources, including your primary care doctor and public sources such as national patient registries (for example, cancer registries). This may include contacting you again by phone or letter.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
If Your Study Doctor Cannot Locate You,"If your study doctor needs to follow up with you but cannot find you, he/she may try to learn your new address, telephone number or current health status by calling or writing to the person(s) named as your secondary contacts. If your study doctor cannot obtain information through your secondary contacts, he or she may ask for the assistance of a third-party representative and may share with that representative limited information about you, such as your name and last known address. The representative will consult public sources, such as public health registries and databases, to obtain your current contact information. The representative will only share this information with the study doctor, to help him/her complete the follow-up stage of the trial. Only the study doctor or a member of his/her team will contact you or your family members.",,,yes,yes,"If your study doctor needs to follow up with you but cannot find you, he/she may try to learn your new address, telephone number or current health status by calling or writing to the person(s) named as your secondary contacts. If your study doctor cannot obtain information through your secondary contacts, he or she may ask for the assistance of a third-party representative and may share with that representative limited information about you, such as your name and last known address. The representative will consult public sources, such as public health registries and databases, to obtain your current contact information. The representative will only share this information with the study doctor, to help him/her complete the follow-up stage of the trial. Only the study doctor or a member of his/her team will contact you or your family members.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Medication Discontinuation Requirements,"For this study, some of the medications that you may have recently used will need to have been stopped for certain periods of time before you can take part in the study. Your study doctor will discuss the medications you have taken and advise you if you need to discontinue them for longer periods before signing and dating consent to be in this study.",,,yes,yes,"For this study, some of the medications that you may have recently used will need to have been stopped for certain periods of time before you can take part in the study. Your study doctor will discuss the medications you have taken and advise you if you need to discontinue them for longer periods before signing and dating consent to be in this study.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
Study Treatment After the End of the Study,"At the end of the study, the study doctor will ensure that you continue to receive appropriate health care services to treat your psoriasis. In addition, for participants who continue to demonstrate clinical benefit, Bristol-Myers Squibb Company may continue to provide study treatment via an extension of the current study, a rollover study requiring approval by responsible health authority and ethics committee, or through another mechanism at the discretion of BMS where acceptable with local laws.",,,yes,yes,"At the end of the study, the study doctor will ensure that you continue to receive appropriate health care services to treat your psoriasis. In addition, for participants who continue to demonstrate clinical benefit, Bristol-Myers Squibb Company may continue to provide study treatment via an extension of the current study, a rollover study requiring approval by responsible health authority and ethics committee, or through another mechanism at the discretion of BMS where acceptable with local laws.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'United States of America'}",
