Section_Name,Content,Approved/Disapproved,Blanks,signature,final_response,Content_modified,Category,Entity Dictionary,Final_signature
Background/Rationale,"Psoriasis is a chronic inflammatory disease of the skin. Patients often have red, raised, and scaling plaques on their skin. These lesions can make the skin itch, flake, or bleed. Psoriasis can also affect a personÃ¢ÂÂs health and quality of life.",,,yes,yes,"Psoriasis is a chronic inflammatory disease of the skin. Patients often have red, raised, and scaling plaques on their skin. These lesions can make the skin itch, flake, or bleed. Psoriasis can also affect a personÃ¢ÂÂs health and quality of life.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Background/Rationale,"BMS-986165 is an investigational study drug, which means it has not yet been approved for use by Health Canada for the treatment of people with psoriasis. This means that the study drug is still being studied and developed and can only be used in research studies like this one.",,,yes,yes,"BMS-986165 is an investigational study drug, which means it has not yet been approved for use by Health Canada for the treatment of people with psoriasis. This means that the study drug is still being studied and developed and can only be used in research studies like this one.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Background/Rationale,"Inflammation of the skin is one of the common symptoms of psoriasis. Several proteins have been shown to be involved in psoriasis and several other inflammatory diseases. Researchers have found that the study drug, BMS-986165 can Ã¢ÂÂinhibitÃ¢ÂÂ, block or stop one of these proteins from working. The protein inhibited by BMS-986165 is called tyrosine kinase 2 (Tyk2). This study will test if BMS-986165 can reduce the symptoms of psoriasis by stopping the function of this protein.",,,yes,yes,"Inflammation of the skin is one of the common symptoms of psoriasis. Several proteins have been shown to be involved in psoriasis and several other inflammatory diseases. Researchers have found that the study drug, BMS-986165 can Ã¢ÂÂinhibitÃ¢ÂÂ, block or stop one of these proteins from working. The protein inhibited by BMS-986165 is called tyrosine kinase 2 (Tyk2). This study will test if BMS-986165 can reduce the symptoms of psoriasis by stopping the function of this protein.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Background/Rationale,"Currently available standard treatments for psoriasis include medications applied to the skin (e.g. corticosteroids, vitamin D analogues), oral (by mouth) medications (e.g. methotrexate), phototherapy (e.g. PUVA, UVB), biological treatments with injectable antibodies, or a combination of these. Although these treatments are available, many patients consider their psoriasis treatment to be inadequate. As such, there is a need for more effective treatment options.",,,yes,yes,"Currently available standard treatments for psoriasis include medications applied to the skin (e.g. corticosteroids, vitamin D analogues), oral (by mouth) medications (e.g. methotrexate), phototherapy (e.g. PUVA, UVB), biological treatments with injectable antibodies, or a combination of these. Although these treatments are available, many patients consider their psoriasis treatment to be inadequate. As such, there is a need for more effective treatment options.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Purpose/Objectives,"The purpose of this study is to measure how safe and effective BMS-986165 is in treating people with psoriasis. In addition, blood samples will be collected to assess how the study treatments affect your body and may be used to better understand psoriasis, associated medical conditions, or who may respond to the treatments. These biomarker samples will be used to measure things like proteins, fats, RNA and DNA.",,,yes,yes,"The purpose of this study is to measure how safe and effective BMS-986165 is in treating people with psoriasis. In addition, blood samples will be collected to assess how the study treatments affect your body and may be used to better understand psoriasis, associated medical conditions, or who may respond to the treatments. These biomarker samples will be used to measure things like proteins, fats, RNA and DNA.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,"Approximately 1000 people are expected to participate in this study, with approximately 3-5 subjects at this study centre.",,,yes,yes,"Approximately 1000 people are expected to participate in this study, with approximately 3-5 subjects at this study centre.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,The total amount of time you may be involved in this study is about 60 weeks (approximately 14 months) and will consist of approximately 18 study visits.,,,yes,yes,"The total amount of time you may be involved in this study is about 60 weeks (approximately 14 months) and will consist of approximately 18 study visits.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,This study will consist of the following 3 periods:,,,yes,yes,"This study will consist of the following 3 periods:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,Bullet- Screening period (up to 4 weeks),,,yes,yes,"Bullet- Screening period (up to 4 weeks)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,Bullet- Treatment period (12 months),,,yes,yes,"Bullet- Treatment period (12 months)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,Bullet- Follow-up period (4 weeks),,,yes,yes,"Bullet- Follow-up period (4 weeks)
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,BMS-986165 will be compared to placebo and a drug called apremilast to find out which is better for treating psoriasis. A placebo looks like the study drug but does not contain any active substance.,,,yes,yes,"BMS-986165 will be compared to placebo and a drug called apremilast to find out which is better for treating psoriasis. A placebo looks like the study drug but does not contain any active substance.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,Apremilast is a drug that is approved in Canada for psoriasis. You do not have to be in a research study to receive apremilast.,,,yes,yes,"Apremilast is a drug that is approved in Canada for psoriasis. You do not have to be in a research study to receive apremilast.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,"If you are eligible to take part in this study, you will be randomly assigned to one of the following treatment groups:",,,yes,yes,"If you are eligible to take part in this study, you will be randomly assigned to one of the following treatment groups:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,Bullet- BMS-986165 6 mg,,,yes,yes,"Bullet- BMS-986165 6 mg
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,Bullet- Placebo,,,yes,yes,"Bullet- Placebo
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Design,Bullet- Apremilast 30 mg,,,yes,yes,"Bullet- Apremilast 30 mg
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Study Procedures,"If you decide to take part in this study, and before starting any study-related procedures, you will be asked to sign this consent form. After you consent to the study, you will have tests done to see if you meet criteria to be in the study. Some of these tests and/or procedures are part of regular care and may be done even if you do not take part in the study. If you have had some of them recently, they may not need to be repeated. This decision will be up to the study doctor. This process is known as the Screening Period. The Screening Period will determine whether or not you can receive the study treatment.",,,yes,yes,"If you decide to take part in this study, and before starting any study-related procedures, you will be asked to sign this consent form. After you consent to the study, you will have tests done to see if you meet criteria to be in the study. Some of these tests and/or procedures are part of regular care and may be done even if you do not take part in the study. If you have had some of them recently, they may not need to be repeated. This decision will be up to the study doctor. This process is known as the Screening Period. The Screening Period will determine whether or not you can receive the study treatment.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"If you decide to take part in this study, you will have the screening procedures described below to see if you meet the requirements to take part in this study. The screening visit is expected to take approximately 2 hours.",,,yes,yes,"If you decide to take part in this study, you will have the screening procedures described below to see if you meet the requirements to take part in this study. The screening visit is expected to take approximately 2 hours.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,The screening will be completed within 28 days of signing this Informed Consent Form. During the Screening Period you will have the following tests and procedures performed:,,,yes,yes,"The screening will be completed within 28 days of signing this Informed Consent Form. During the Screening Period you will have the following tests and procedures performed:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,Bullet- The study doctor or study staff will ask you questions about your past and present medical,,,yes,yes,"Bullet- The study doctor or study staff will ask you questions about your past and present medical
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"conditions and surgical history. Your medical history will be reviewed. The study doctor or study staff will also ask you questions about your past and present smoking history, if applicable.",,,yes,yes,"conditions and surgical history. Your medical history will be reviewed. The study doctor or study staff will also ask you questions about your past and present smoking history, if applicable.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- You will be asked about any medications or therapies you are currently taking or have taken in the past (including over-the-counter medicines, food supplements and natural/herbal remedies).",,,yes,yes,"Bullet- You will be asked about any medications or therapies you are currently taking or have taken in the past (including over-the-counter medicines, food supplements and natural/herbal remedies).
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- A complete physical examination will be done. The complete physical examination includes a check of your overall health as well as your head, eyes, ears, nose, throat, neck, lungs, heard and blood vessels, stomach, arms and legs, skin, muscles and bone frame. You will also have a neurologic (sensory testing of the skin, muscle strength testing and reflexes of your arms and legs)) and psychiatric assessment.",,,yes,yes,"Bullet- A complete physical examination will be done. The complete physical examination includes a check of your overall health as well as your head, eyes, ears, nose, throat, neck, lungs, heard and blood vessels, stomach, arms and legs, skin, muscles and bone frame. You will also have a neurologic (sensory testing of the skin, muscle strength testing and reflexes of your arms and legs)) and psychiatric assessment.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- Your blood pressure, breathing rate, heart rate, and temperature will be measured and recorded.",,,yes,yes,"Bullet- Your blood pressure, breathing rate, heart rate, and temperature will be measured and recorded.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,Bullet- Your weight and height will be measured and recorded.,,,yes,yes,"Bullet- Your weight and height will be measured and recorded.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- You will have an electrocardiogram (an electrical recording that shows how well your heart is working, also known as an ECG). For this, patches connected by wires to a machine, will be placed on your chest.",,,yes,yes,"Bullet- You will have an electrocardiogram (an electrical recording that shows how well your heart is working, also known as an ECG). For this, patches connected by wires to a machine, will be placed on your chest.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,Bullet- A chest x-ray will be done unless you have had one performed within the last 6 months and the documentation is available to the study doctor.,,,yes,yes,"Bullet- A chest x-ray will be done unless you have had one performed within the last 6 months and the documentation is available to the study doctor.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,Bullet- You will have an assessment of your mental health history including depression and suicidal thoughts and behaviours.,,,yes,yes,"Bullet- You will have an assessment of your mental health history including depression and suicidal thoughts and behaviours.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,Bullet- You will be asked to provide blood and urine samples for testing. You will need to fast (no food or drink except water) for at least 10 hours before sample collection. The blood and urine will be collected for the following reasons:,,,yes,yes,"Bullet- You will be asked to provide blood and urine samples for testing. You will need to fast (no food or drink except water) for at least 10 hours before sample collection. The blood and urine will be collected for the following reasons:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- To check your general health, including your thyroid activity and checking your antibody levels in the blood to help measure the status of your immune system.",,,yes,yes,"Bullet- To check your general health, including your thyroid activity and checking your antibody levels in the blood to help measure the status of your immune system.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- To test for tuberculosis, hepatitis and human immunodeficiency virus (HIV).",,,yes,yes,"Bullet- To test for tuberculosis, hepatitis and human immunodeficiency virus (HIV).
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- You cannot take part in this study if you have any of these infections. If you test positive for these infections, you will be told, and your results and personal information will be reported to local health authorities, as required by law, and you may be referred to Public Health for counselling. If you have any questions regarding hepatitis and HIV testing please ask the study doctor.",,,yes,yes,"Bullet- You cannot take part in this study if you have any of these infections. If you test positive for these infections, you will be told, and your results and personal information will be reported to local health authorities, as required by law, and you may be referred to Public Health for counselling. If you have any questions regarding hepatitis and HIV testing please ask the study doctor.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,Bullet- To complete a urine drug test.,,,yes,yes,"Bullet- To complete a urine drug test.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- If you are a woman who can get pregnant, a blood pregnancy test will be done. The result must be negative in order for you to be in the study. The study doctor or study staff will tell you the results of the test.",,,yes,yes,"Bullet- If you are a woman who can get pregnant, a blood pregnancy test will be done. The result must be negative in order for you to be in the study. The study doctor or study staff will tell you the results of the test.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- If you are a postmenopausal woman under the age of 55, a blood test will be done to confirm menopause. If you are treated with hormone replacement therapy, you may be required to stop your medication for a period of time (up to 8 weeks) as it can interfere with the testing. The study doctor will be able to tell you more if this is relevant to you.",,,yes,yes,"Bullet- If you are a postmenopausal woman under the age of 55, a blood test will be done to confirm menopause. If you are treated with hormone replacement therapy, you may be required to stop your medication for a period of time (up to 8 weeks) as it can interfere with the testing. The study doctor will be able to tell you more if this is relevant to you.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"Bullet- The study doctor will assess your psoriasis. If you have joint complaints, you will also be asked to complete a questionnaire to check for psoriatic arthritis.",,,yes,yes,"Bullet- The study doctor will assess your psoriasis. If you have joint complaints, you will also be asked to complete a questionnaire to check for psoriatic arthritis.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"You will also be asked to complete a daily diary to record your signs and symptoms. This may be a paper- based diary or may be electronic Ã¢ÂÂ if electronic, the device you are given to complete your diary with should be returned to the study doctor or study staff when no longer needed. Completing this diary is expected to take approximately 5-10 minutes each day.",,,yes,yes,"You will also be asked to complete a daily diary to record your signs and symptoms. This may be a paper- based diary or may be electronic Ã¢ÂÂ if electronic, the device you are given to complete your diary with should be returned to the study doctor or study staff when no longer needed. Completing this diary is expected to take approximately 5-10 minutes each day.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"If you do not meet all the criteria to take part in the study at screening or randomization and have not been treated with disallowed medications, you may be rescreened. In this case you must complete the full screening period again, including re-signing the consent form.",,,yes,yes,"If you do not meet all the criteria to take part in the study at screening or randomization and have not been treated with disallowed medications, you may be rescreened. In this case you must complete the full screening period again, including re-signing the consent form.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Screening Period,"If you are suitable for the study and you still want to take part, you will be asked to return to the study site on the days indicated in the table at the end of this section. Your next study visit will be the Day 1 visit.",,,yes,yes,"If you are suitable for the study and you still want to take part, you will be asked to return to the study site on the days indicated in the table at the end of this section. Your next study visit will be the Day 1 visit.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,The Day 1 visit is expected to take approximately 4 hours. At this visit you will have the following tests and procedures performed:,,,yes,yes,"The Day 1 visit is expected to take approximately 4 hours. At this visit you will have the following tests and procedures performed:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will need to fast (go without food and drink except water) for 10 hours before this visit.,,,yes,yes,"Bullet- You will need to fast (go without food and drink except water) for 10 hours before this visit.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,"Bullet- Review of any changes in your health and medications (including over-the-counter medicines, food supplements and natural/herbal remedies) since your last study visit.",,,yes,yes,"Bullet- Review of any changes in your health and medications (including over-the-counter medicines, food supplements and natural/herbal remedies) since your last study visit.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- A complete physical examination will be done.,,,yes,yes,"Bullet- A complete physical examination will be done.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- Your weight will be measured and recorded.,,,yes,yes,"Bullet- Your weight will be measured and recorded.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,"Bullet- Your blood pressure, heart rate, temperature and breathing rate will be measured and recorded.",,,yes,yes,"Bullet- Your blood pressure, heart rate, temperature and breathing rate will be measured and recorded.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will have an ECG done.,,,yes,yes,"Bullet- You will have an ECG done.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- The study doctor will assess your psoriasis.,,,yes,yes,"Bullet- The study doctor will assess your psoriasis.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,"Bullet- You will be asked to complete four questionnaires about your psoriasis and how it affects you. If you had joint complaints at Screening, you will also be asked to estimate how severe your pain was during the past week.",,,yes,yes,"Bullet- You will be asked to complete four questionnaires about your psoriasis and how it affects you. If you had joint complaints at Screening, you will also be asked to estimate how severe your pain was during the past week.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will complete a questionnaire and have an assessment for depression and suicidal thoughts and behaviours.,,,yes,yes,"Bullet- You will complete a questionnaire and have an assessment for depression and suicidal thoughts and behaviours.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will be asked to provide blood and urine samples for testing. The blood and urine samples will be collected for the following reasons:,,,yes,yes,"Bullet- You will be asked to provide blood and urine samples for testing. The blood and urine samples will be collected for the following reasons:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- To check your general health and disease status.,,,yes,yes,"Bullet- To check your general health and disease status.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,"Bullet- If you are a woman who can get pregnant, a pregnancy test will be done on your urine. The result must be negative for you to be in the study.",,,yes,yes,"Bullet- If you are a woman who can get pregnant, a pregnancy test will be done on your urine. The result must be negative for you to be in the study.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- To assess your disease and the effects of the study drug on your body.,,,yes,yes,"Bullet- To assess your disease and the effects of the study drug on your body.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,"Bullet- To check the amount of the study drug in your blood. For this testing, a sample will be collected around the following time points:",,,yes,yes,"Bullet- To check the amount of the study drug in your blood. For this testing, a sample will be collected around the following time points:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- Before you take your first dose of the study drug,,,yes,yes,"Bullet- Before you take your first dose of the study drug
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- 30 minutes after you take your first dose of the study drug,,,yes,yes,"Bullet- 30 minutes after you take your first dose of the study drug
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- 2 hours after you take your first dose of the study drug,,,yes,yes,"Bullet- 2 hours after you take your first dose of the study drug
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,"Bullet- If you are eligible for the study, you will be randomly assigned to one of the treatment groups described earlier in this consent form.",,,yes,yes,"Bullet- If you are eligible for the study, you will be randomly assigned to one of the treatment groups described earlier in this consent form.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will receive your first dose of study drug during this visit.,,,yes,yes,"Bullet- You will receive your first dose of study drug during this visit.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will receive a supply of study drug to take home.,,,yes,yes,"Bullet- You will receive a supply of study drug to take home.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will receive a combination of blister card kits and bottles with the study drug in them. The study doctor or study staff will instruct you on how to take the study drug properly.,,,yes,yes,"Bullet- You will receive a combination of blister card kits and bottles with the study drug in them. The study doctor or study staff will instruct you on how to take the study drug properly.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,"Bullet- On study visit days, do not take the morning dose of study drug until instructed to do so by the study staff.",,,yes,yes,"Bullet- On study visit days, do not take the morning dose of study drug until instructed to do so by the study staff.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Day 1,Bullet- You will be asked to return your study drug (all used study packaging and unused study drug) at each study visit.,,,yes,yes,"Bullet- You will be asked to return your study drug (all used study packaging and unused study drug) at each study visit.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Treatment Period (Week 1 Ã¢ÂÂ Week 52),Each study visit during the treatment period is expected to take approximately 2-4 hours.,,,yes,yes,"Each study visit during the treatment period is expected to take approximately 2-4 hours.
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
Treatment Period (Week 1 Ã¢ÂÂ Week 52),"At each visit, the following tests and procedures may be performed. There is a table at the end of this section that will show you which of these tests and procedures will be done at each visit:",,,yes,yes,"At each visit, the following tests and procedures may be performed. There is a table at the end of this section that will show you which of these tests and procedures will be done at each visit:
I agree to the above statement",Study,"{'Drug': 'BMS-986165', 'Disease': 'Plaque Psoriasis', 'country': 'Canada'}",
